Size,Type,Time
500,random,39
600,random,45
700,random,55
800,random,69
900,random,84
1000,random,92
1100,random,103
1200,random,107
1300,random,120
1400,random,134
1500,random,140
1600,random,148
1700,random,182
1800,random,171
1900,random,178
2000,random,198
2100,random,217
2200,random,216
2300,random,228
2400,random,235
2500,random,281
2600,random,262
2700,random,277
2800,random,295
2900,random,292
3000,random,306
3100,random,310
3200,random,323
3300,random,350
3400,random,353
3500,random,362
3600,random,376
3700,random,394
3800,random,392
3900,random,415
4000,random,443
4100,random,441
4200,random,454
4300,random,469
4400,random,480
4500,random,480
4600,random,501
4700,random,504
4800,random,516
4900,random,534
5000,random,535
5100,random,556
5200,random,556
5300,random,568
5400,random,584
5500,random,603
5600,random,587
5700,random,614
5800,random,617
5900,random,646
6000,random,651
6100,random,746
6200,random,754
6300,random,693
6400,random,695
6500,random,746
6600,random,741
6700,random,744
6800,random,741
6900,random,771
7000,random,765
7100,random,792
7200,random,795
7300,random,821
7400,random,820
7500,random,848
7600,random,850
7700,random,856
7800,random,889
7900,random,901
8000,random,928
8100,random,943
8200,random,959
8300,random,973
8400,random,973
8500,random,981
8600,random,995
8700,random,1014
8800,random,1019
8900,random,1017
9000,random,1044
9100,random,1046
9200,random,1042
9300,random,1063
9400,random,1103
9500,random,1107
9600,random,1092
9700,random,1122
9800,random,1152
9900,random,1132
10000,random,1142
500,reversed,31
600,reversed,35
700,reversed,46
800,reversed,53
900,reversed,79
1000,reversed,65
1100,reversed,67
1200,reversed,74
1300,reversed,90
1400,reversed,92
1500,reversed,101
1600,reversed,114
1700,reversed,126
1800,reversed,135
1900,reversed,140
2000,reversed,149
2100,reversed,140
2200,reversed,158
2300,reversed,156
2400,reversed,166
2500,reversed,174
2600,reversed,187
2700,reversed,192
2800,reversed,207
2900,reversed,200
3000,reversed,214
3100,reversed,229
3200,reversed,242
3300,reversed,258
3400,reversed,281
3500,reversed,257
3600,reversed,267
3700,reversed,283
3800,reversed,293
3900,reversed,310
4000,reversed,283
4100,reversed,284
4200,reversed,299
4300,reversed,305
4400,reversed,358
4500,reversed,339
4600,reversed,325
4700,reversed,341
4800,reversed,368
4900,reversed,360
5000,reversed,369
5100,reversed,370
5200,reversed,388
5300,reversed,383
5400,reversed,395
5500,reversed,436
5600,reversed,418
5700,reversed,428
5800,reversed,436
5900,reversed,471
6000,reversed,447
6100,reversed,466
6200,reversed,488
6300,reversed,477
6400,reversed,490
6500,reversed,567
6600,reversed,516
6700,reversed,566
6800,reversed,555
6900,reversed,566
7000,reversed,568
7100,reversed,569
7200,reversed,589
7300,reversed,608
7400,reversed,605
7500,reversed,625
7600,reversed,848
7700,reversed,661
7800,reversed,610
7900,reversed,591
8000,reversed,610
8100,reversed,614
8200,reversed,664
8300,reversed,608
8400,reversed,643
8500,reversed,639
8600,reversed,653
8700,reversed,681
8800,reversed,686
8900,reversed,694
9000,reversed,687
9100,reversed,703
9200,reversed,683
9300,reversed,719
9400,reversed,706
9500,reversed,721
9600,reversed,734
9700,reversed,800
9800,reversed,744
9900,reversed,762
10000,reversed,765
500,nearly_sorted,20
600,nearly_sorted,21
700,nearly_sorted,26
800,nearly_sorted,28
900,nearly_sorted,30
1000,nearly_sorted,40
1100,nearly_sorted,48
1200,nearly_sorted,76
1300,nearly_sorted,54
1400,nearly_sorted,56
1500,nearly_sorted,55
1600,nearly_sorted,58
1700,nearly_sorted,64
1800,nearly_sorted,68
1900,nearly_sorted,67
2000,nearly_sorted,87
2100,nearly_sorted,98
2200,nearly_sorted,98
2300,nearly_sorted,96
2400,nearly_sorted,108
2500,nearly_sorted,109
2600,nearly_sorted,114
2700,nearly_sorted,114
2800,nearly_sorted,116
2900,nearly_sorted,130
3000,nearly_sorted,122
3100,nearly_sorted,128
3200,nearly_sorted,130
3300,nearly_sorted,134
3400,nearly_sorted,138
3500,nearly_sorted,145
3600,nearly_sorted,143
3700,nearly_sorted,283
3800,nearly_sorted,230
3900,nearly_sorted,169
4000,nearly_sorted,194
4100,nearly_sorted,202
4200,nearly_sorted,212
4300,nearly_sorted,200
4400,nearly_sorted,205
4500,nearly_sorted,212
4600,nearly_sorted,222
4700,nearly_sorted,219
4800,nearly_sorted,229
4900,nearly_sorted,245
5000,nearly_sorted,239
5100,nearly_sorted,237
5200,nearly_sorted,242
5300,nearly_sorted,253
5400,nearly_sorted,259
5500,nearly_sorted,254
5600,nearly_sorted,262
5700,nearly_sorted,260
5800,nearly_sorted,261
5900,nearly_sorted,283
6000,nearly_sorted,266
6100,nearly_sorted,269
6200,nearly_sorted,292
6300,nearly_sorted,285
6400,nearly_sorted,286
6500,nearly_sorted,297
6600,nearly_sorted,295
6700,nearly_sorted,313
6800,nearly_sorted,307
6900,nearly_sorted,324
7000,nearly_sorted,311
7100,nearly_sorted,313
7200,nearly_sorted,322
7300,nearly_sorted,347
7400,nearly_sorted,330
7500,nearly_sorted,320
7600,nearly_sorted,333
7700,nearly_sorted,345
7800,nearly_sorted,383
7900,nearly_sorted,411
8000,nearly_sorted,426
8100,nearly_sorted,558
8200,nearly_sorted,434
8300,nearly_sorted,441
8400,nearly_sorted,447
8500,nearly_sorted,441
8600,nearly_sorted,452
8700,nearly_sorted,463
8800,nearly_sorted,462
8900,nearly_sorted,449
9000,nearly_sorted,484
9100,nearly_sorted,469
9200,nearly_sorted,467
9300,nearly_sorted,499
9400,nearly_sorted,475
9500,nearly_sorted,492
9600,nearly_sorted,494
9700,nearly_sorted,491
9800,nearly_sorted,492
9900,nearly_sorted,525
10000,nearly_sorted,503
