Size,Type,Time
500,random,65
600,random,78
700,random,94
800,random,108
900,random,111
1000,random,95
1100,random,116
1200,random,130
1300,random,117
1400,random,125
1500,random,175
1600,random,155
1700,random,183
1800,random,278
1900,random,232
2000,random,188
2100,random,207
2200,random,209
2300,random,222
2400,random,249
2500,random,249
2600,random,257
2700,random,269
2800,random,280
2900,random,304
3000,random,304
3100,random,317
3200,random,328
3300,random,336
3400,random,357
3500,random,353
3600,random,377
3700,random,377
3800,random,415
3900,random,406
4000,random,408
4100,random,432
4200,random,436
4300,random,447
4400,random,464
4500,random,467
4600,random,477
4700,random,498
4800,random,509
4900,random,521
5000,random,536
5100,random,546
5200,random,557
5300,random,574
5400,random,587
5500,random,603
5600,random,609
5700,random,623
5800,random,628
5900,random,645
6000,random,663
6100,random,683
6200,random,707
6300,random,711
6400,random,726
6500,random,716
6600,random,769
6700,random,734
6800,random,763
6900,random,767
7000,random,802
7100,random,789
7200,random,814
7300,random,812
7400,random,879
7500,random,864
7600,random,853
7700,random,890
7800,random,904
7900,random,872
8000,random,894
8100,random,905
8200,random,924
8300,random,956
8400,random,945
8500,random,984
8600,random,968
8700,random,977
8800,random,1011
8900,random,1020
9000,random,1013
9100,random,1041
9200,random,1041
9300,random,1053
9400,random,1187
9500,random,1217
9600,random,1103
9700,random,1138
9800,random,1140
9900,random,1153
10000,random,1171
500,reversed,34
600,reversed,43
700,reversed,57
800,reversed,87
900,reversed,65
1000,reversed,72
1100,reversed,81
1200,reversed,91
1300,reversed,124
1400,reversed,121
1500,reversed,133
1600,reversed,155
1700,reversed,123
1800,reversed,132
1900,reversed,143
2000,reversed,155
2100,reversed,162
2200,reversed,191
2300,reversed,186
2400,reversed,195
2500,reversed,207
2600,reversed,226
2700,reversed,245
2800,reversed,261
2900,reversed,260
3000,reversed,289
3100,reversed,293
3200,reversed,303
3300,reversed,249
3400,reversed,267
3500,reversed,265
3600,reversed,280
3700,reversed,311
3800,reversed,317
3900,reversed,327
4000,reversed,328
4100,reversed,340
4200,reversed,353
4300,reversed,367
4400,reversed,364
4500,reversed,388
4600,reversed,396
4700,reversed,399
4800,reversed,408
4900,reversed,438
5000,reversed,481
5100,reversed,458
5200,reversed,529
5300,reversed,484
5400,reversed,493
5500,reversed,671
5600,reversed,512
5700,reversed,536
5800,reversed,550
5900,reversed,554
6000,reversed,586
6100,reversed,577
6200,reversed,604
6300,reversed,632
6400,reversed,647
6500,reversed,549
6600,reversed,553
6700,reversed,532
6800,reversed,544
6900,reversed,551
7000,reversed,575
7100,reversed,588
7200,reversed,603
7300,reversed,628
7400,reversed,610
7500,reversed,633
7600,reversed,644
7700,reversed,654
7800,reversed,678
7900,reversed,673
8000,reversed,698
8100,reversed,684
8200,reversed,727
8300,reversed,722
8400,reversed,731
8500,reversed,752
8600,reversed,790
8700,reversed,774
8800,reversed,846
8900,reversed,800
9000,reversed,883
9100,reversed,806
9200,reversed,884
9300,reversed,856
9400,reversed,853
9500,reversed,890
9600,reversed,870
9700,reversed,911
9800,reversed,922
9900,reversed,915
10000,reversed,938
500,nearly_sorted,15
600,nearly_sorted,15
700,nearly_sorted,17
800,nearly_sorted,19
900,nearly_sorted,27
1000,nearly_sorted,31
1100,nearly_sorted,32
1200,nearly_sorted,37
1300,nearly_sorted,38
1400,nearly_sorted,43
1500,nearly_sorted,46
1600,nearly_sorted,46
1700,nearly_sorted,62
1800,nearly_sorted,68
1900,nearly_sorted,70
2000,nearly_sorted,69
2100,nearly_sorted,74
2200,nearly_sorted,81
2300,nearly_sorted,83
2400,nearly_sorted,87
2500,nearly_sorted,95
2600,nearly_sorted,94
2700,nearly_sorted,98
2800,nearly_sorted,102
2900,nearly_sorted,105
3000,nearly_sorted,134
3100,nearly_sorted,110
3200,nearly_sorted,114
3300,nearly_sorted,141
3400,nearly_sorted,141
3500,nearly_sorted,147
3600,nearly_sorted,147
3700,nearly_sorted,154
3800,nearly_sorted,153
3900,nearly_sorted,172
4000,nearly_sorted,217
4100,nearly_sorted,175
4200,nearly_sorted,165
4300,nearly_sorted,171
4400,nearly_sorted,175
4500,nearly_sorted,176
4600,nearly_sorted,189
4700,nearly_sorted,183
4800,nearly_sorted,197
4900,nearly_sorted,210
5000,nearly_sorted,194
5100,nearly_sorted,199
5200,nearly_sorted,203
5300,nearly_sorted,226
5400,nearly_sorted,211
5500,nearly_sorted,213
5600,nearly_sorted,214
5700,nearly_sorted,221
5800,nearly_sorted,230
5900,nearly_sorted,246
6000,nearly_sorted,228
6100,nearly_sorted,232
6200,nearly_sorted,236
6300,nearly_sorted,239
6400,nearly_sorted,241
6500,nearly_sorted,296
6600,nearly_sorted,296
6700,nearly_sorted,308
6800,nearly_sorted,313
6900,nearly_sorted,321
7000,nearly_sorted,322
7100,nearly_sorted,320
7200,nearly_sorted,320
7300,nearly_sorted,327
7400,nearly_sorted,346
7500,nearly_sorted,341
7600,nearly_sorted,342
7700,nearly_sorted,344
7800,nearly_sorted,352
7900,nearly_sorted,348
8000,nearly_sorted,359
8100,nearly_sorted,358
8200,nearly_sorted,369
8300,nearly_sorted,359
8400,nearly_sorted,371
8500,nearly_sorted,371
8600,nearly_sorted,382
8700,nearly_sorted,376
8800,nearly_sorted,385
8900,nearly_sorted,386
9000,nearly_sorted,420
9100,nearly_sorted,393
9200,nearly_sorted,402
9300,nearly_sorted,423
9400,nearly_sorted,409
9500,nearly_sorted,413
9600,nearly_sorted,430
9700,nearly_sorted,438
9800,nearly_sorted,429
9900,nearly_sorted,420
10000,nearly_sorted,439
