Size,Type,Time
4000,nearly_sorted,359
4100,nearly_sorted,331
4200,nearly_sorted,342
4300,nearly_sorted,349
4400,nearly_sorted,367
4500,nearly_sorted,355
4600,nearly_sorted,378
4700,nearly_sorted,361
4800,nearly_sorted,387
4900,nearly_sorted,371
5000,nearly_sorted,393
5100,nearly_sorted,385
5200,nearly_sorted,438
5300,nearly_sorted,420
5400,nearly_sorted,443
5500,nearly_sorted,484
5600,nearly_sorted,489
5700,nearly_sorted,522
5800,nearly_sorted,539
5900,nearly_sorted,555
6000,nearly_sorted,566
6100,nearly_sorted,597
6200,nearly_sorted,604
6300,nearly_sorted,621
6400,nearly_sorted,626
6500,nearly_sorted,644
6600,nearly_sorted,622
6700,nearly_sorted,637
6800,nearly_sorted,642
6900,nearly_sorted,641
7000,nearly_sorted,660
7100,nearly_sorted,653
7200,nearly_sorted,665
7300,nearly_sorted,672
7400,nearly_sorted,703
7500,nearly_sorted,674
7600,nearly_sorted,678
7700,nearly_sorted,693
7800,nearly_sorted,699
7900,nearly_sorted,698
8000,nearly_sorted,717
8100,nearly_sorted,802
8200,nearly_sorted,726
8300,nearly_sorted,724
8400,nearly_sorted,732
8500,nearly_sorted,722
8600,nearly_sorted,729
8700,nearly_sorted,740
8800,nearly_sorted,768
8900,nearly_sorted,770
9000,nearly_sorted,784
9100,nearly_sorted,760
9200,nearly_sorted,775
9300,nearly_sorted,800
9400,nearly_sorted,801
9500,nearly_sorted,782
9600,nearly_sorted,789
9700,nearly_sorted,809
9800,nearly_sorted,805
9900,nearly_sorted,808
10000,nearly_sorted,805
