Size,Type,Time
500,random,90
600,random,98
700,random,124
800,random,158
900,random,170
1000,random,179
1100,random,136
1200,random,137
1300,random,155
1400,random,192
1500,random,321
1600,random,327
1700,random,226
1800,random,236
1900,random,259
2000,random,260
2100,random,269
2200,random,282
2300,random,288
2400,random,308
2500,random,316
2600,random,333
2700,random,359
2800,random,388
2900,random,400
3000,random,430
3100,random,451
3200,random,465
3300,random,473
3400,random,482
3500,random,515
3600,random,518
3700,random,520
3800,random,531
3900,random,541
4000,random,552
4100,random,571
4200,random,575
4300,random,602
4400,random,591
4500,random,620
4600,random,614
4700,random,629
4800,random,642
4900,random,652
5000,random,657
5100,random,660
5200,random,688
5300,random,721
5400,random,751
5500,random,762
5600,random,798
5700,random,823
5800,random,875
5900,random,878
6000,random,901
6100,random,945
6200,random,940
6300,random,956
6400,random,1055
6500,random,1311
6600,random,1034
6700,random,1157
6800,random,1166
6900,random,1055
7000,random,1048
7100,random,1071
7200,random,1109
7300,random,1096
7400,random,1094
7500,random,1113
7600,random,1134
7700,random,1141
7800,random,1163
7900,random,1287
8000,random,1181
8100,random,1207
8200,random,1197
8300,random,1224
8400,random,1233
8500,random,1252
8600,random,1250
8700,random,1265
8800,random,1283
8900,random,1288
9000,random,1308
9100,random,1304
9200,random,1326
9300,random,1348
9400,random,1355
9500,random,1567
9600,random,1468
9700,random,1440
9800,random,1402
9900,random,1431
10000,random,1433
500,reversed,36
600,reversed,43
700,reversed,49
800,reversed,64
900,reversed,75
1000,reversed,94
1100,reversed,90
1200,reversed,86
1300,reversed,93
1400,reversed,118
1500,reversed,126
1600,reversed,133
1700,reversed,144
1800,reversed,146
1900,reversed,161
2000,reversed,176
2100,reversed,167
2200,reversed,172
2300,reversed,181
2400,reversed,195
2500,reversed,184
2600,reversed,203
2700,reversed,269
2800,reversed,232
2900,reversed,246
3000,reversed,269
3100,reversed,283
3200,reversed,296
3300,reversed,289
3400,reversed,296
3500,reversed,341
3600,reversed,313
3700,reversed,338
3800,reversed,326
3900,reversed,325
4000,reversed,330
4100,reversed,349
4200,reversed,350
4300,reversed,369
4400,reversed,365
4500,reversed,381
4600,reversed,380
4700,reversed,394
4800,reversed,406
4900,reversed,406
5000,reversed,412
5100,reversed,412
5200,reversed,450
5300,reversed,445
5400,reversed,470
5500,reversed,496
5600,reversed,502
5700,reversed,519
5800,reversed,546
5900,reversed,551
6000,reversed,583
6100,reversed,588
6200,reversed,594
6300,reversed,614
6400,reversed,607
6500,reversed,628
6600,reversed,627
6700,reversed,637
6800,reversed,630
6900,reversed,646
7000,reversed,637
7100,reversed,648
7200,reversed,685
7300,reversed,671
7400,reversed,684
7500,reversed,677
7600,reversed,692
7700,reversed,699
7800,reversed,705
7900,reversed,774
8000,reversed,733
8100,reversed,723
8200,reversed,750
8300,reversed,726
8400,reversed,744
8500,reversed,736
8600,reversed,753
8700,reversed,754
8800,reversed,784
8900,reversed,763
9000,reversed,783
9100,reversed,770
9200,reversed,780
9300,reversed,793
9400,reversed,814
9500,reversed,835
9600,reversed,810
9700,reversed,847
9800,reversed,834
9900,reversed,843
10000,reversed,843
500,nearly_sorted,37
600,nearly_sorted,49
700,nearly_sorted,55
800,nearly_sorted,68
900,nearly_sorted,68
1000,nearly_sorted,81
1100,nearly_sorted,75
1200,nearly_sorted,89
1300,nearly_sorted,90
1400,nearly_sorted,116
1500,nearly_sorted,126
1600,nearly_sorted,139
1700,nearly_sorted,141
1800,nearly_sorted,171
1900,nearly_sorted,154
2000,nearly_sorted,152
2100,nearly_sorted,164
2200,nearly_sorted,169
2300,nearly_sorted,170
2400,nearly_sorted,182
2500,nearly_sorted,180
2600,nearly_sorted,200
2700,nearly_sorted,204
2800,nearly_sorted,231
2900,nearly_sorted,242
3000,nearly_sorted,276
3100,nearly_sorted,296
3200,nearly_sorted,292
3300,nearly_sorted,307
3400,nearly_sorted,305
3500,nearly_sorted,301
3600,nearly_sorted,305
3700,nearly_sorted,323
3800,nearly_sorted,322
3900,nearly_sorted,337
